Ticker Name,3-Year BETA,5-Year BETA,10-Year BETA,3-Year Standard Deviation,5-Year Standard Deviation,10-Year Standard Deviation,3-Year Sharpe,5-Year Sharpe,10-Year Sharpe,3-Year Treynor Ratio,5-Year Treynor Ratio,10-Year Treynor Ratio
LEAD.TO,1.2,0,0,18.36,0,0,-0.14,0,0,-3.44,0,0
IICE.TO,0,0,0,0,0,0,0,0,0,0,0,0
HERO.TO,0.89,0,0,17.22,0,0,-0.42,0,0,-9.54,0,0
RPU.NE,0.62,0.58,0,10.69,11.29,0,-0.5,-0.16,0,-9.36,-4.26,0
BITI.TO,0,0,0,0,0,0,0,0,0,0,0,0
BITI-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
YAMZ.NE,0,0,0,0,0,0,0,0,0,0,0,0
HUZ.TO,0.23,0.6,0.55,27.02,31.64,27.06,-0.1,0.26,-0.02,-26.37,5.96,-7.38
ZPH.TO,0.56,0.55,0,11.64,11.64,0,0.41,0.1,0,7.57,0.83,0
DXZ.TO,0.9,0.77,0,15.26,14.54,0,0.45,0.38,0,6.73,6.17,0
HUM.TO,1.11,0,0,21.56,0,0,0.7,0,0,12.5,0,0
HUM-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
RGQR.TO,0,0,0,0,0,0,0,0,0,0,0,0
DXN.TO,0.97,0,0,13.13,0,0,0.03,0,0,-0.44,0,0
ARKK.TO,0,0,0,0,0,0,0,0,0,0,0,0
RQR.TO,0,0,0,0,0,0,0,0,0,0,0,0
MAYB-F.TO,0.68,0,0,10.95,0,0,0.3,0,0,4.16,0,0
ZQB.TO,0.58,0,0,3.31,0,0,-1.06,0,0,-6.04,0,0
UMI.TO,1.13,1.22,0,19.43,23.23,0,0.57,0.12,0,8.64,0.05,0
USCL.TO,0,0,0,0,0,0,0,0,0,0,0,0
XXM-B.TO,1.08,1.32,0,20.18,26.87,0,0.96,0.16,0,17.94,0.52,0
XXM.TO,1.32,1.54,0,23.97,30.87,0,0.77,0.11,0,13.17,-1.1,0
PIN.TO,0.79,0.91,0.82,7.47,8.41,6.77,0.31,0.25,0.36,2.65,2,2.74
HHLE.TO,0,0,0,0,0,0,0,0,0,0,0,0
FJFB.NE,0,0,0,0,0,0,0,0,0,0,0,0
EARN.TO,0.19,0,0,3.63,0,0,-0.23,0,0,-4.74,0,0
XCBG.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZWEN.TO,0,0,0,0,0,0,0,0,0,0,0,0
XFI.TO,0.93,0.97,0,13.38,13.31,0,0.34,0.14,0,4.12,1.08,0
RGQO.TO,0,0,0,0,0,0,0,0,0,0,0,0
FEBB-F.TO,0.69,0,0,10.76,0,0,0.54,0,0,7.92,0,0
MGRW.TO,1.04,0,0,11.12,0,0,0.41,0,0,3.9,0,0
FCVH.TO,1.14,0,0,19.5,0,0,0.88,0,0,14.8,0,0
YXM-B.TO,1.02,1.01,0,18.15,19.41,0,0.62,0.36,0,10.15,5.23,0
YXM.TO,1.26,1.24,0,21.63,23.42,0,0.47,0.24,0,6.7,2.37,0
RGQP.TO,0,0,0,0,0,0,0,0,0,0,0,0
EDGF.TO,0.9,0.97,0,17.04,17.06,0,0.23,0.25,0,2.86,3.04,0
FHG.TO,1.2,1.38,0,17.87,20.45,0,0.68,0.41,0,9.38,4.82,0
FHG-F.TO,1.48,1.69,0,22.02,25.19,0,0.51,0.27,0,6.37,2.23,0
RGQN.TO,0,0,0,0,0,0,0,0,0,0,0,0
NOVB-F.TO,0.76,0,0,12.31,0,0,0.34,0,0,4.66,0,0
HSL.TO,0.04,0.22,0,2.57,3.82,0,0.25,0.05,0,15.76,0.6,0
COMM.TO,0.96,0.91,0,14.08,13.59,0,0.21,0.43,0,2.06,5.58,0
ETHQ-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ETHQ.TO,0,0,0,0,0,0,0,0,0,0,0,0
PBI.TO,1.36,1.4,0,22.13,23.09,0,-0.14,0.11,0,-3.99,-0.12,0
THE.TO,0.87,0.99,0,13.26,14.42,0,0.77,0.4,0,11.48,4.92,0
NUSA.TO,0,0,0,0,0,0,0,0,0,0,0,0
AGSG.NE,0,0,0,0,0,0,0,0,0,0,0,0
BSKT.TO,0,0,0,0,0,0,0,0,0,0,0,0
ETSX.TO,0,0,0,0,0,0,0,0,0,0,0,0
ETC.TO,0,0,0,0,0,0,0,0,0,0,0,0
DATA-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
DATA.TO,0,0,0,0,0,0,0,0,0,0,0,0
MCSB.TO,0.94,0.99,0,2.28,2.53,0,-1.24,-0.2,0,-2.97,-0.55,0
HBLK.TO,2.47,2.31,0,45.31,47.83,0,0.03,0.31,0,-3.42,1.96,0
ESGF.TO,0.91,0,0,8.26,0,0,-0.92,0,0,-8.57,0,0
FGGE.TO,0,0,0,0,0,0,0,0,0,0,0,0
TUHY.TO,0.94,0,0,8.37,0,0,-0.13,0,0,-1.56,0,0
SRII.NE,0,0,0,0,0,0,0,0,0,0,0,0
ZHP.TO,0.92,0.8,0,15.33,16.22,0,-0.32,-0.08,0,-6.53,-3.35,0
HUG.TO,0.03,-0.05,0.1,14.42,13.78,13.68,-0.23,0.42,0.07,-128.78,-108.68,0.33
TMEC.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZVC.TO,1.05,1.07,0,15.45,18.28,0,1.05,0.4,0,15.86,5.41,0
FCGI.TO,1.02,0,0,9.26,0,0,0.43,0,0,3.62,0,0
DQI.TO,0.97,1.01,0,14.72,14.54,0,0.3,0.34,0,3.5,4.06,0
TCON.TO,1.23,0,0,7.92,0,0,-0.24,0,0,-1.8,0,0
ETP.TO,0.94,1.22,0,6.92,9.14,0,-0.47,-0.23,0,-3.74,-2.12,0
ONEC.TO,0,0,0,0,0,0,0,0,0,0,0,0
GCNS.TO,1.11,0,0,7.26,0,0,-0.1,0,0,-0.9,0,0
XFC.TO,0.86,0.99,0,12.73,16.81,0,0.5,0.25,0,6.74,2.94,0
PHE-B.TO,0,0,0,8.64,8.17,0,0.64,0.4,0,0,0,0
HIX.TO,0,0,0,14.12,14.23,11.22,-0.72,-0.69,-0.89,0,0,0
RCDC.TO,0,0,0,0,0,0,0,0,0,0,0,0
TKN.TO,0,0,0,0,0,0,0,0,0,0,0,0
TKN-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
BREA.TO,0.91,0,0,14.49,0,0,0.36,0,0,4.81,0,0
MIVG.TO,0.8,0.78,0,11.35,11.5,0,0.26,0.42,0,2.98,5.56,0
DXR.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZHU.TO,0.85,0,0,14.64,0,0,0.03,0,0,-0.73,0,0
XSMH.TO,1.32,0,0,22.12,0,0,0.48,0,0,6.68,0,0
HGGG.TO,0.95,0,0,27.54,0,0,-0.42,0,0,-15.19,0,0
DRFG.TO,0.94,0,0,12.59,0,0,0.34,0,0,3.82,0,0
HUF-U.TO,0.17,0.29,0.68,5.74,5.48,7.17,0.13,0.34,0.54,3.48,6.02,5.51
ESGH.TO,0,0,0,0,0,0,0,0,0,0,0,0
FCII.TO,0,0,0,0,0,0,0,0,0,0,0,0
CSBA.NE,0,0,0,0,0,0,0,0,0,0,0,0
APLY.NE,0,0,0,0,0,0,0,0,0,0,0,0
FHH.TO,0.71,0.78,0,12.93,15.05,0,0.03,0.2,0,-0.68,2.54,0
RGQQ.TO,0,0,0,0,0,0,0,0,0,0,0,0
DXIF.TO,0,0,0,0,0,0,0,0,0,0,0,0
XVLU.TO,0.91,0,0,16.38,0,0,0.55,0,0,8.92,0,0
HUN.TO,2.73,1.92,1.45,52.44,45.28,35.06,0.39,0.45,0.14,3.01,6.14,-0.67
CGAA.TO,1.05,0,0,9.24,0,0,0.3,0,0,2.3,0,0
XMY.TO,0.71,0.77,0,11.09,12.05,0,0.29,0.24,0,3.85,2.85,0
MDVD.TO,0.55,0,0,10.23,0,0,0.32,0,0,5.26,0,0
CAGG.TO,1.11,1.13,0,6.75,6.81,0,-1.02,-0.17,0,-6.29,-1.26,0
QDXB.TO,0.5,0,0,5,0,0,-1.21,0,0,-12.16,0,0
REM.NE,0.83,0.82,0,12.19,12.55,0,0.02,0.08,0,-0.59,0.36,0
FOUR.TO,1.57,0,0,23.78,0,0,0.09,0,0,-0.44,0,0
BGC.TO,0.78,0.83,0,12.76,14.73,0,0.48,0.39,0,7.18,5.76,0
GDIV.NE,0,0,0,0,0,0,0,0,0,0,0,0
MWMN.NE,1.01,1.01,0,13.52,14.03,0,0.24,0.32,0,2.43,3.55,0
HRED.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBU.TO,0,0,0,28.87,27.79,27.46,-0.31,0.34,0.02,0,0,0
ZINN.TO,0,0,0,0,0,0,0,0,0,0,0,0
TGFI.TO,0.55,0,0,6.48,0,0,-0.76,0,0,-9.25,0,0
HBGD.TO,2.6,2.18,0,48.35,41.12,0,0.66,0.64,0,9.18,9.34,0
HGR.TO,1.11,1.11,0,18.49,18.33,0,-0.32,-0.2,0,-6.8,-4.82,0
